High-focus NE,High-focus Non-NE,Non-High focus - Large,Non-High focus - Small & UT
30,21,25,27
17,24,23,26
20,19,16,20
20,26,23,26
22,25,25,29
18,22,29,23
18,14,23,18
17,20,25,33
25,23,21,27
20,22,27,13
23,16,25,23
20,17,23,18
21,12,23,32
21,26,28,27
21,27,26,25
21,22,25,19
12,21,24,27
28,23,24,29
21,22,19,28
23,20,15,25
24,19,24,20
20,19,26,35
24,22,30,29
19,17,34,26
18,21,23,24
19,23,25,30
21,24,27,35
22,18,25,30
21,24,30,28
22,25,27,23
20,21,22,
10,15,31,
15,19,18,
27,20,25,
20,18,22,
19,15,39,
19,11,19,
25,27,20,
18,17,27,
18,18,24,
22,24,36,
20,21,24,
23,15,24,
23,23,26,
23,22,24,
22,15,26,
29,24,25,
19,22,27,
18,27,20,
23,18,25,
21,14,24,
22,22,25,
25,20,18,
19,24,23,
18,20,23,
26,24,38,
21,27,23,
19,28,27,
18,22,27,
22,23,32,
21,20,23,
22,13,28,
16,23,23,
21,23,24,
20,15,23,
19,22,24,
19,16,21,
13,28,23,
,16,18,
,16,25,
,16,27,
,24,22,
,21,22,
,17,25,
,22,30,
,18,22,
,16,33,
,22,24,
,20,26,
,19,24,
,15,22,
,23,25,
,26,30,
,20,27,
,24,28,
,27,26,
,21,21,
,24,25,
,21,25,
,23,24,
,19,23,
,21,24,
,15,25,
,25,21,
,22,23,
,23,27,
,26,23,
,23,24,
,21,26,
,22,24,
,25,22,
,19,16,
,22,23,
,13,23,
,22,25,
,13,24,
,21,22,
,21,24,
,14,27,
,22,23,
,16,24,
,15,16,
,20,26,
,14,26,
,16,15,
,11,23,
,27,19,
,23,16,
,19,25,
,10,23,
,16,23,
,23,21,
,21,24,
,22,18,
,18,24,
,14,24,
,22,30,
,16,26,
,24,29,
,16,24,
,21,25,
,12,18,
,20,22,
,22,31,
,16,20,
,18,26,
,24,25,
,24,25,
,21,27,
,19,22,
,14,27,
,25,23,
,25,25,
,21,30,
,15,25,
,19,29,
,13,26,
,23,24,
,22,25,
,26,25,
,25,16,
,23,22,
,24,25,
,24,28,
,20,30,
,19,24,
,14,23,
,23,22,
,23,24,
,14,22,
,21,23,
,18,22,
,26,33,
,19,21,
,21,28,
,23,26,
,20,25,
,23,26,
,26,27,
,28,24,
,21,21,
,24,19,
,17,25,
,17,25,
,25,31,
,20,25,
,25,25,
,28,27,
,20,25,
,21,27,
,22,33,
,22,29,
,21,24,
,15,24,
,20,26,
,23,23,
,24,21,
,16,35,
,27,21,
,19,25,
,17,24,
,21,26,
,21,31,
,26,24,
,21,25,
,23,22,
,21,27,
,19,26,
,19,21,
,23,21,
,25,24,
,19,26,
,24,23,
,21,23,
,23,26,
,23,21,
,23,26,
,23,25,
,28,22,
,22,23,
,18,24,
,24,22,
,18,24,
,23,22,
,22,26,
,27,42,
,24,25,
,22,24,
,16,26,
,19,25,
,25,19,
,15,,
,15,,
,23,,
,18,,
,27,,
,26,,
,26,,
,24,,
,20,,
,17,,
,17,,
,17,,
,17,,
,22,,
,20,,
,24,,
,21,,
,28,,
,21,,
,23,,
,22,,
,23,,
,24,,
,24,,
,23,,
,22,,
,21,,
,23,,
,22,,
,26,,
,22,,
,15,,
,26,,
,25,,
,24,,
,14,,
,25,,
,18,,
,19,,
,23,,
,17,,
,20,,
,21,,
,21,,
,11,,
,20,,
,17,,
,23,,
,22,,
,23,,
,22,,
,27,,
,20,,
,17,,
,29,,
,18,,
,20,,
,21,,
,22,,
,29,,
,21,,
,21,,
,24,,
,25,,
,22,,
,24,,
,22,,
,26,,
,22,,
,17,,
,21,,
,20,,
,20,,
,16,,
,22,,
,12,,
,20,,
,24,,
,22,,
,19,,
,22,,
,16,,
,20,,
,12,,
,23,,
,16,,
,15,,
,20,,
,23,,
,21,,
,20,,
,18,,
,25,,
,25,,
,23,,
,23,,
,18,,
,29,,
,14,,
,22,,
,24,,
,25,,
,20,,
,12,,
,24,,
,22,,
,17,,
,20,,
,19,,
,22,,
,27,,
,17,,
,24,,
,25,,
,18,,
,15,,
,20,,
,27,,
,29,,
,24,,
,21,,
,23,,
,22,,
,15,,
,23,,
,18,,
,13,,
,23,,
,22,,
,23,,
,26,,
,23,,
,20,,
,27,,
,18,,
,19,,
,30,,
,23,,
,21,,
,23,,
,16,,
,19,,
,22,,
,15,,
,20,,
,21,,
,14,,
,18,,
,21,,
,20,,
,26,,
,29,,
,21,,
,25,,
,21,,
,22,,
,21,,
,19,,
,17,,
,15,,
,23,,
,23,,
,22,,
,21,,
,15,,
,22,,
,22,,